sorting_algorithm, array_size, run_time, num_of_process, num_of_thread
mpi_openmp_merge, 10000000, 0.840651, 8, 1
mpi_openmp_quick, 10000000, 0.601706, 8, 2
mpi_openmp_merge, 10000000, 0.857414, 8, 2
mpi_openmp_quick, 10000000, 0.641921, 8, 3
mpi_openmp_merge, 10000000, 0.855586, 8, 3
mpi_openmp_quick, 10000000, 0.590481, 8, 4
mpi_openmp_merge, 10000000, 0.847042, 8, 4
mpi_openmp_quick, 10000000, 0.688058, 8, 5
mpi_openmp_merge, 10000000, 0.929829, 8, 5
mpi_openmp_quick, 10000000, 0.640109, 8, 6
mpi_openmp_merge, 10000000, 0.871924, 8, 6
mpi_openmp_quick, 10000000, 0.647354, 8, 7
mpi_openmp_merge, 10000000, 0.999144, 8, 7
mpi_openmp_quick, 10000000, 0.661406, 8, 8
mpi_openmp_merge, 10000000, 0.883758, 8, 8
mpi_openmp_quick, 50000000, 10.841541, 1, 1
mpi_openmp_merge, 50000000, 16.880428, 1, 1
mpi_openmp_quick, 50000000, 10.734951, 1, 2
mpi_openmp_merge, 50000000, 16.464781, 1, 2
mpi_openmp_quick, 50000000, 10.610662, 1, 3
mpi_openmp_merge, 50000000, 16.454984, 1, 3
mpi_openmp_quick, 50000000, 10.649842, 1, 4
mpi_openmp_merge, 50000000, 16.470529, 1, 4
mpi_openmp_quick, 50000000, 10.638120, 1, 5
mpi_openmp_merge, 50000000, 16.481032, 1, 5
mpi_openmp_quick, 50000000, 10.629555, 1, 6
mpi_openmp_merge, 50000000, 16.310938, 1, 6
mpi_openmp_quick, 50000000, 10.649441, 1, 7
mpi_openmp_merge, 50000000, 16.374689, 1, 7
mpi_openmp_quick, 50000000, 10.641484, 1, 8
mpi_openmp_merge, 50000000, 16.282257, 1, 8
mpi_openmp_quick, 50000000, 6.211505, 2, 1
mpi_openmp_merge, 50000000, 8.993473, 2, 1
mpi_openmp_quick, 50000000, 5.999720, 2, 2
mpi_openmp_merge, 50000000, 9.034251, 2, 2
mpi_openmp_quick, 50000000, 6.020361, 2, 3
mpi_openmp_merge, 50000000, 8.962635, 2, 3
mpi_openmp_quick, 50000000, 5.974288, 2, 4
mpi_openmp_merge, 50000000, 8.903459, 2, 4
mpi_openmp_quick, 50000000, 5.950123, 2, 5
mpi_openmp_merge, 50000000, 8.860749, 2, 5
mpi_openmp_quick, 50000000, 5.957268, 2, 6
mpi_openmp_merge, 50000000, 9.300454, 2, 6
mpi_openmp_quick, 50000000, 6.039920, 2, 7
mpi_openmp_merge, 50000000, 8.921593, 2, 7
mpi_openmp_quick, 50000000, 6.058068, 2, 8
mpi_openmp_merge, 50000000, 8.823611, 2, 8
mpi_openmp_quick, 50000000, 4.665912, 3, 1
mpi_openmp_merge, 50000000, 6.716278, 3, 1
mpi_openmp_quick, 50000000, 4.656121, 3, 2
mpi_openmp_merge, 50000000, 6.317126, 3, 2
mpi_openmp_quick, 50000000, 4.657861, 3, 3
mpi_openmp_merge, 50000000, 6.276245, 3, 3
mpi_openmp_quick, 50000000, 4.636870, 3, 4
mpi_openmp_merge, 50000000, 6.443319, 3, 4
mpi_openmp_quick, 50000000, 4.668844, 3, 5
mpi_openmp_merge, 50000000, 6.324712, 3, 5
mpi_openmp_quick, 50000000, 4.703193, 3, 6
mpi_openmp_merge, 50000000, 6.701142, 3, 6
mpi_openmp_quick, 50000000, 4.696119, 3, 7
mpi_openmp_merge, 50000000, 6.467600, 3, 7
mpi_openmp_quick, 50000000, 4.648796, 3, 8
mpi_openmp_merge, 50000000, 6.362016, 3, 8
mpi_openmp_quick, 50000000, 3.807810, 4, 1
mpi_openmp_merge, 50000000, 5.264629, 4, 1
mpi_openmp_quick, 50000000, 3.728612, 4, 2
mpi_openmp_merge, 50000000, 5.303041, 4, 2
mpi_openmp_quick, 50000000, 3.739007, 4, 3
mpi_openmp_merge, 50000000, 5.433027, 4, 3
mpi_openmp_quick, 50000000, 3.772753, 4, 4
mpi_openmp_merge, 50000000, 5.354326, 4, 4
mpi_openmp_quick, 50000000, 3.699766, 4, 5
mpi_openmp_merge, 50000000, 5.514912, 4, 5
mpi_openmp_quick, 50000000, 3.737471, 4, 6
mpi_openmp_merge, 50000000, 5.236605, 4, 6
mpi_openmp_quick, 50000000, 3.717283, 4, 7
mpi_openmp_merge, 50000000, 5.531194, 4, 7
mpi_openmp_quick, 50000000, 3.723868, 4, 8
mpi_openmp_merge, 50000000, 5.309440, 4, 8
mpi_openmp_quick, 50000000, 3.760212, 5, 1
mpi_openmp_merge, 50000000, 5.584464, 5, 1
mpi_openmp_quick, 50000000, 3.729215, 5, 2
mpi_openmp_merge, 50000000, 5.170413, 5, 2
mpi_openmp_quick, 50000000, 3.681833, 5, 3
mpi_openmp_merge, 50000000, 5.245627, 5, 3
mpi_openmp_quick, 50000000, 3.898818, 5, 4
mpi_openmp_merge, 50000000, 5.391806, 5, 4
mpi_openmp_quick, 50000000, 3.690703, 5, 5
mpi_openmp_merge, 50000000, 5.222020, 5, 5
mpi_openmp_quick, 50000000, 3.726642, 5, 6
mpi_openmp_merge, 50000000, 5.397305, 5, 6
mpi_openmp_quick, 50000000, 3.801304, 5, 7
mpi_openmp_merge, 50000000, 5.398831, 5, 7
mpi_openmp_quick, 50000000, 3.679223, 5, 8
mpi_openmp_merge, 50000000, 5.276217, 5, 8
mpi_openmp_quick, 50000000, 3.409881, 6, 1
mpi_openmp_merge, 50000000, 4.840593, 6, 1
