sorting_algorithm, array_size, run_time, num_of_process
mpi+openmp merge, 100000, 0.011662, 8
serial merge, 100000, 0.039336, 8
mpi enum, 100000, 1.033605, 8
mpi+openmp enum, 100000, 1.066941, 8
mpi quick, 10000000, 0.682150, 8
mpi+openmp quick, 10000000, 0.755391, 8
serial quick, 10000000, 2.863888, 8
mpi merge, 10000000, 0.938023, 8
mpi+openmp merge, 10000000, 0.934537, 8
serial merge, 10000000, 4.500463, 8
mpi quick, 10000000, 0.587642, 8
mpi+openmp quick, 10000000, 0.652701, 8
serial quick, 10000000, 2.789340, 8
mpi merge, 10000000, 0.857301, 8
mpi+openmp merge, 10000000, 0.830295, 8
serial merge, 10000000, 4.518162, 8
mpi quick, 100, 0.000359, 8
mpi+openmp quick, 100, 0.000073, 8
serial quick, 100, 0.000200, 8
mpi merge, 100, 0.000045, 8
mpi+openmp merge, 100, 0.000075, 8
serial merge, 100, 0.000042, 8
mpi enum, 100, 0.000018, 8
mpi+openmp enum, 100, 0.000022, 8
serial enum, 100, 0.000041, 8
mpi quick, 1000, 0.000478, 8
mpi+openmp quick, 1000, 0.000304, 8
serial quick, 1000, 0.000175, 8
mpi merge, 1000, 0.000366, 8
mpi+openmp merge, 1000, 0.000129, 8
serial merge, 1000, 0.000411, 8
mpi enum, 1000, 0.000136, 8
mpi+openmp enum, 1000, 0.000161, 8
serial enum, 1000, 0.003524, 8
mpi quick, 1000, 0.000506, 8
mpi+openmp quick, 1000, 0.000216, 8
serial quick, 1000, 0.000213, 8
mpi merge, 1000, 0.000209, 8
mpi+openmp merge, 1000, 0.000071, 8
serial merge, 1000, 0.000186, 8
mpi enum, 1000, 0.000131, 8
mpi+openmp enum, 1000, 0.000133, 8
serial enum, 1000, 0.003546, 8
mpi quick, 1000, 0.000464, 8
mpi+openmp quick, 1000, 0.000161, 8
serial quick, 1000, 0.000175, 8
mpi merge, 1000, 0.000227, 8
mpi+openmp merge, 1000, 0.000100, 8
serial merge, 1000, 0.000416, 8
mpi enum, 1000, 0.000143, 8
mpi+openmp enum, 1000, 0.000237, 8
serial enum, 1000, 0.003509, 8
mpi quick, 1000, 0.000462, 8
mpi+openmp quick, 1000, 0.000579, 8
serial quick, 1000, 0.000187, 8
mpi merge, 1000, 0.000235, 8
mpi+openmp merge, 1000, 0.000098, 8
serial merge, 1000, 0.000419, 8
mpi enum, 1000, 0.000147, 8
mpi+openmp enum, 1000, 0.000147, 8
serial enum, 1000, 0.003631, 8
mpi quick, 1000, 0.000403, 8
mpi+openmp quick, 1000, 0.000431, 8
serial quick, 1000, 0.000373, 8
mpi merge, 1000, 0.001876, 8
mpi+openmp merge, 1000, 0.000105, 8
serial merge, 1000, 0.000432, 8
mpi enum, 1000, 0.000141, 8
mpi+openmp enum, 1000, 0.000179, 8
serial enum, 1000, 0.003644, 8
mpi quick, 100, 0.000487, 8
mpi+openmp quick, 100, 0.000139, 8
serial quick, 100, 0.000015, 8
mpi merge, 100, 0.000600, 8
mpi+openmp merge, 100, 0.000086, 8
serial merge, 100, 0.000019, 8
mpi enum, 100, 0.000013, 8
mpi+openmp enum, 100, 0.000065, 8
serial enum, 100, 0.000039, 8
mpi quick, 100, 0.000310, 8
mpi+openmp quick, 100, 0.000290, 8
serial quick, 100, 0.000015, 8
mpi merge, 100, 0.000224, 8
mpi+openmp merge, 100, 0.000029, 8
serial merge, 100, 0.000047, 8
mpi enum, 100, 0.000017, 8
mpi+openmp enum, 100, 0.000021, 8
serial enum, 100, 0.000044, 8
mpi quick, 100, 0.000356, 8
mpi+openmp quick, 100, 0.000097, 8
serial quick, 100, 0.000016, 8
mpi merge, 100, 0.000296, 8
mpi+openmp merge, 100, 0.000027, 8
serial merge, 100, 0.000040, 8
mpi enum, 100, 0.000059, 8
mpi+openmp enum, 100, 0.000018, 8
serial enum, 100, 0.000038, 8
mpi quick, 100, 0.000376, 8
mpi+openmp quick, 100, 0.000267, 8
serial quick, 100, 0.000015, 8
mpi merge, 100, 0.000068, 8
mpi+openmp merge, 100, 0.000021, 8
serial merge, 100, 0.000044, 8
mpi enum, 100, 0.000236, 8
mpi+openmp enum, 100, 0.000020, 8
serial enum, 100, 0.000038, 8
mpi quick, 100, 0.000341, 8
mpi+openmp quick, 100, 0.000262, 8
serial quick, 100, 0.000011, 8
mpi merge, 100, 0.000352, 8
mpi+openmp merge, 100, 0.000048, 8
serial merge, 100, 0.000021, 8
mpi enum, 100, 0.000011, 8
mpi+openmp enum, 100, 0.000051, 8
serial enum, 100, 0.000039, 8
mpi quick, 100, 0.001536, 8
mpi+openmp quick, 100, 0.000105, 8
serial quick, 100, 0.000017, 8
mpi merge, 100, 0.000080, 8
mpi+openmp merge, 100, 0.000021, 8
serial merge, 100, 0.000042, 8
mpi enum, 100, 0.000051, 8
mpi+openmp enum, 100, 0.000022, 8
serial enum, 100, 0.000045, 8
mpi quick, 100, 0.000323, 8
mpi+openmp quick, 100, 0.000354, 8
serial quick, 100, 0.000236, 8
mpi merge, 100, 0.000124, 8
mpi+openmp merge, 100, 0.000026, 8
serial merge, 100, 0.000040, 8
mpi enum, 100, 0.000019, 8
mpi+openmp enum, 100, 0.000021, 8
serial enum, 100, 0.000082, 8
mpi quick, 100, 0.000323, 8
mpi+openmp quick, 100, 0.000154, 8
serial quick, 100, 0.000019, 8
mpi merge, 100, 0.000120, 8
mpi+openmp merge, 100, 0.000053, 8
serial merge, 100, 0.000041, 8
mpi enum, 100, 0.000017, 8
mpi+openmp enum, 100, 0.000049, 8
serial enum, 100, 0.000042, 8
mpi quick, 100, 0.010193, 8
mpi+openmp quick, 100, 0.000370, 8
serial quick, 100, 0.000017, 8
mpi merge, 100, 0.000044, 8
mpi+openmp merge, 100, 0.000029, 8
serial merge, 100, 0.000043, 8
mpi enum, 100, 0.000017, 8
mpi+openmp enum, 100, 0.000020, 8
serial enum, 100, 0.000052, 8
mpi quick, 100, 0.000932, 8
mpi+openmp quick, 100, 0.000377, 8
serial quick, 100, 0.000008, 8
mpi merge, 100, 0.000228, 8
mpi+openmp merge, 100, 0.000019, 8
serial merge, 100, 0.000017, 8
mpi enum, 100, 0.000014, 8
mpi+openmp enum, 100, 0.000023, 8
serial enum, 100, 0.000038, 8
mpi quick, 100, 0.001409, 8
mpi+openmp quick, 100, 0.000410, 8
serial quick, 100, 0.000016, 8
mpi merge, 100, 0.000229, 8
mpi+openmp merge, 100, 0.000019, 8
serial merge, 100, 0.000043, 8
mpi enum, 100, 0.000018, 8
mpi+openmp enum, 100, 0.000016, 8
serial enum, 100, 0.000040, 8
mpi quick, 100, 0.000353, 8
mpi+openmp quick, 100, 0.000094, 8
serial quick, 100, 0.000018, 8
mpi merge, 100, 0.000092, 8
mpi+openmp merge, 100, 0.000020, 8
serial merge, 100, 0.000018, 8
mpi enum, 100, 0.000014, 8
mpi+openmp enum, 100, 0.000016, 8
serial enum, 100, 0.000037, 8
mpi quick, 100, 0.000373, 8
mpi+openmp quick, 100, 0.000316, 8
serial quick, 100, 0.000017, 8
mpi merge, 100, 0.000372, 8
mpi+openmp merge, 100, 0.000023, 8
serial merge, 100, 0.000021, 8
mpi enum, 100, 0.000012, 8
mpi+openmp enum, 100, 0.000018, 8
serial enum, 100, 0.000044, 8
mpi quick, 100, 0.000319, 8
mpi+openmp quick, 100, 0.000166, 8
serial quick, 100, 0.000009, 8
mpi merge, 100, 0.000302, 8
mpi+openmp merge, 100, 0.000038, 8
serial merge, 100, 0.000027, 8
mpi enum, 100, 0.000058, 8
mpi+openmp enum, 100, 0.000019, 8
serial enum, 100, 0.000037, 8
mpi quick, 100, 0.000358, 8
mpi+openmp quick, 100, 0.000147, 8
serial quick, 100, 0.000009, 8
mpi merge, 100, 0.000275, 8
mpi+openmp merge, 100, 0.000241, 8
serial merge, 100, 0.000019, 8
mpi enum, 100, 0.000013, 8
mpi+openmp enum, 100, 0.000017, 8
serial enum, 100, 0.000045, 8
mpi quick, 100, 0.000443, 8
mpi+openmp quick, 100, 0.000053, 8
serial quick, 100, 0.000016, 8
mpi merge, 100, 0.000156, 8
mpi+openmp merge, 100, 0.000056, 8
serial merge, 100, 0.000019, 8
mpi enum, 100, 0.000021, 8
mpi+openmp enum, 100, 0.000020, 8
serial enum, 100, 0.000075, 8
mpi quick, 100, 0.000325, 8
mpi+openmp quick, 100, 0.000894, 8
serial quick, 100, 0.000016, 8
mpi merge, 100, 0.000067, 8
mpi+openmp merge, 100, 0.000490, 8
serial merge, 100, 0.000018, 8
mpi enum, 100, 0.000045, 8
mpi+openmp enum, 100, 0.000014, 8
serial enum, 100, 0.000038, 8
mpi quick, 100, 0.002113, 8
mpi+openmp quick, 100, 0.008649, 8
serial quick, 100, 0.000016, 8
mpi merge, 100, 0.000863, 8
mpi+openmp merge, 100, 0.016317, 8
serial merge, 100, 0.002976, 8
mpi enum, 100, 0.005912, 8
mpi+openmp enum, 100, 0.000171, 8
serial enum, 100, 0.000037, 8
mpi quick, 100, 0.000379, 8
mpi+openmp quick, 100, 0.000093, 8
serial quick, 100, 0.000009, 8
mpi merge, 100, 0.000040, 8
mpi+openmp merge, 100, 0.000019, 8
serial merge, 100, 0.000025, 8
mpi enum, 100, 0.000017, 8
mpi+openmp enum, 100, 0.000016, 8
serial enum, 100, 0.000037, 8
mpi quick, 100, 0.000306, 8
mpi+openmp quick, 100, 0.000387, 8
