sorting_algorithm, array_size, run_time, num_of_process
mpi+openmp merge, 20, 0.000013, 8
serial merge, 20, 0.000011, 8
mpi enum, 20, 0.000012, 8
mpi+openmp enum, 20, 0.000012, 8
serial enum, 20, 0.000005, 8
mpi quick, 20, 0.000241, 8
mpi+openmp quick, 20, 0.000282, 8
serial quick, 20, 0.000006, 8
mpi merge, 20, 0.000175, 8
mpi+openmp merge, 20, 0.000020, 8
serial merge, 20, 0.000012, 8
mpi enum, 20, 0.000017, 8
mpi+openmp enum, 20, 0.000016, 8
serial enum, 20, 0.000004, 8
mpi quick, 20, 0.000226, 8
mpi+openmp quick, 20, 0.001028, 8
serial quick, 20, 0.000002, 8
mpi merge, 20, 0.000532, 8
mpi+openmp merge, 20, 0.008633, 8
serial merge, 20, 0.000005, 8
mpi enum, 20, 0.000964, 8
mpi+openmp enum, 20, 0.000125, 8
serial enum, 20, 0.000003, 8
mpi quick, 20, 0.000323, 8
mpi+openmp quick, 20, 0.000123, 8
serial quick, 20, 0.000004, 8
mpi merge, 20, 0.000334, 8
mpi+openmp merge, 20, 0.000016, 8
serial merge, 20, 0.000010, 8
mpi enum, 20, 0.000012, 8
mpi+openmp enum, 20, 0.000016, 8
serial enum, 20, 0.000004, 8
mpi quick, 20, 0.000391, 8
mpi+openmp quick, 20, 0.000143, 8
serial quick, 20, 0.000002, 8
mpi merge, 20, 0.000156, 8
mpi+openmp merge, 20, 0.000478, 8
serial merge, 20, 0.000005, 8
mpi enum, 20, 0.000025, 8
mpi+openmp enum, 20, 0.000014, 8
serial enum, 20, 0.000003, 8
mpi quick, 20, 0.000261, 8
mpi+openmp quick, 20, 0.000200, 8
serial quick, 20, 0.000006, 8
mpi merge, 20, 0.000167, 8
mpi+openmp merge, 20, 0.000033, 8
serial merge, 20, 0.000005, 8
mpi enum, 20, 0.000014, 8
mpi+openmp enum, 20, 0.000017, 8
serial enum, 20, 0.000003, 8
mpi quick, 20, 0.000169, 8
mpi+openmp quick, 20, 0.000130, 8
serial quick, 20, 0.000041, 8
mpi merge, 20, 0.000125, 8
mpi+openmp merge, 20, 0.000017, 8
serial merge, 20, 0.000047, 8
mpi enum, 20, 0.000032, 8
mpi+openmp enum, 20, 0.000018, 8
serial enum, 20, 0.000024, 8
mpi quick, 20, 0.000873, 8
mpi+openmp quick, 20, 0.000042, 8
serial quick, 20, 0.000045, 8
mpi merge, 20, 0.000413, 8
mpi+openmp merge, 20, 0.000121, 8
mpi quick, 20, 0.006154, 8
mpi+openmp quick, 20, 0.001436, 8
serial quick, 20, 0.000192, 8
mpi merge, 20, 0.001320, 8
mpi+openmp merge, 20, 0.017764, 8
mpi quick, 20, 0.000341, 8
mpi+openmp quick, 20, 0.000108, 8
serial quick, 20, 0.000081, 8
mpi merge, 20, 0.000042, 8
mpi+openmp merge, 20, 0.000017, 8
mpi quick, 20, 0.000236, 8
mpi+openmp quick, 20, 0.000171, 8
serial quick, 20, 0.000007, 8
mpi merge, 20, 0.000387, 8
mpi+openmp merge, 20, 0.000017, 8
serial merge, 20, 0.000013, 8
mpi enum, 20, 0.000012, 8
mpi+openmp enum, 20, 0.000016, 8
serial enum, 20, 0.000004, 8
mpi quick, 20, 0.000245, 8
mpi+openmp quick, 20, 0.000173, 8
serial quick, 20, 0.000011, 8
mpi merge, 20, 0.000114, 8
mpi+openmp merge, 20, 0.000020, 8
serial merge, 20, 0.000011, 8
mpi enum, 20, 0.000014, 8
mpi+openmp enum, 20, 0.000014, 8
serial enum, 20, 0.000004, 8
mpi quick, 20, 0.000484, 8
mpi+openmp quick, 20, 0.000377, 8
serial quick, 20, 0.000004, 8
mpi merge, 20, 0.000073, 8
mpi+openmp merge, 20, 0.000015, 8
serial merge, 20, 0.000005, 8
mpi enum, 20, 0.000009, 8
mpi+openmp enum, 20, 0.000014, 8
serial enum, 20, 0.000033, 8
mpi quick, 20, 0.001722, 8
mpi+openmp quick, 20, 0.000059, 8
serial quick, 20, 0.000011, 8
mpi merge, 20, 0.000128, 8
mpi+openmp merge, 20, 0.000041, 8
serial merge, 20, 0.000005, 8
mpi enum, 20, 0.000111, 8
mpi+openmp enum, 20, 0.000067, 8
serial enum, 20, 0.000003, 8
mpi quick, 20, 0.000266, 8
mpi+openmp quick, 20, 0.000093, 8
serial quick, 20, 0.000011, 8
mpi merge, 20, 0.000192, 8
mpi+openmp merge, 20, 0.000454, 8
mpi quick, 20, 0.010236, 8
mpi+openmp quick, 20, 0.000060, 8
serial quick, 20, 0.000005, 8
mpi merge, 20, 0.000032, 8
mpi+openmp merge, 20, 0.000017, 8
mpi quick, 20, 0.000336, 8
mpi+openmp quick, 20, 0.000154, 8
mpi quick, 20, 0.000266, 8
mpi+openmp quick, 20, 0.000202, 8
mpi quick, 20, 0.000287, 8
mpi+openmp quick, 20, 0.000091, 8
serial quick, 20, 0.000101, 8
mpi merge, 20, 0.000056, 8
mpi+openmp merge, 20, 0.000021, 8
mpi quick, 20, 0.000498, 8
mpi+openmp quick, 20, 0.000187, 8
mpi quick, 20, 0.000472, 8
mpi+openmp quick, 20, 0.000396, 8
serial quick, 20, 0.000004, 8
mpi merge, 20, 0.000230, 8
mpi+openmp merge, 20, 0.000056, 8
mpi quick, 20, 0.000221, 8
mpi+openmp quick, 20, 0.000061, 8
mpi quick, 20, 0.000269, 8
mpi+openmp quick, 20, 0.000098, 8
mpi quick, 20, 0.000251, 8
mpi+openmp quick, 20, 0.000291, 8
serial quick, 20, 0.000015, 8
mpi merge, 20, 0.000062, 8
mpi+openmp merge, 20, 0.000094, 8
serial merge, 20, 0.000011, 8
mpi enum, 20, 0.000012, 8
mpi+openmp enum, 20, 0.000017, 8
serial enum, 20, 0.000004, 8
mpi quick, 20, 0.000217, 8
mpi+openmp quick, 20, 0.001912, 8
serial quick, 20, 0.000011, 8
mpi merge, 20, 0.000287, 8
mpi+openmp merge, 20, 0.000013, 8
serial merge, 20, 0.000012, 8
mpi enum, 20, 0.000011, 8
mpi+openmp enum, 20, 0.000012, 8
serial enum, 20, 0.000006, 8
mpi quick, 20, 0.000248, 8
mpi+openmp quick, 20, 0.000145, 8
serial quick, 20, 0.000010, 8
mpi merge, 20, 0.000046, 8
mpi+openmp merge, 20, 0.000013, 8
serial merge, 20, 0.000011, 8
mpi enum, 20, 0.000011, 8
mpi+openmp enum, 20, 0.000012, 8
serial enum, 20, 0.000003, 8
mpi quick, 20, 0.000162, 8
mpi+openmp quick, 20, 0.000095, 8
serial quick, 20, 0.000008, 8
mpi merge, 20, 0.000430, 8
mpi+openmp merge, 20, 0.000018, 8
serial merge, 20, 0.000011, 8
mpi enum, 20, 0.000012, 8
mpi+openmp enum, 20, 0.000016, 8
serial enum, 20, 0.000006, 8
mpi quick, 20, 0.000697, 8
mpi+openmp quick, 20, 0.000465, 8
serial quick, 20, 0.000008, 8
mpi merge, 20, 0.000378, 8
mpi+openmp merge, 20, 0.001094, 8
serial merge, 20, 0.000005, 8
mpi enum, 20, 0.000011, 8
mpi+openmp enum, 20, 0.000012, 8
serial enum, 20, 0.000003, 8
mpi quick, 20, 0.000500, 8
mpi+openmp quick, 20, 0.000063, 8
serial quick, 20, 0.000012, 8
mpi merge, 20, 0.000139, 8
mpi+openmp merge, 20, 0.000021, 8
serial merge, 20, 0.000014, 8
mpi enum, 20, 0.000014, 8
mpi+openmp enum, 20, 0.000016, 8
serial enum, 20, 0.000004, 8
mpi quick, 20, 0.000199, 8
mpi+openmp quick, 20, 0.000084, 8
serial quick, 20, 0.000014, 8
mpi merge, 20, 0.000098, 8
mpi+openmp merge, 20, 0.000480, 8
serial merge, 20, 0.000035, 8
mpi enum, 20, 0.000029, 8
mpi+openmp enum, 20, 0.000019, 8
serial enum, 20, 0.000004, 8
mpi quick, 10, 0.000050, 3
mpi+openmp quick, 10, 0.000010, 3
serial quick, 10, 0.000013, 3
mpi merge, 10, 0.000043, 3
mpi+openmp merge, 10, 0.000041, 3
serial merge, 10, 0.000005, 3
mpi enum, 10, 0.000013, 3
mpi+openmp enum, 10, 0.000038, 3
serial enum, 10, 0.000002, 3
mpi quick, 10, 0.000051, 3
mpi+openmp quick, 10, 0.000005, 3
serial quick, 10, 0.000005, 3
mpi merge, 10, 0.000010, 3
mpi+openmp merge, 10, 0.000053, 3
serial merge, 10, 0.000005, 3
mpi enum, 10, 0.000212, 3
mpi+openmp enum, 10, 0.000020, 3
serial enum, 10, 0.000001, 3
mpi quick, 10, 0.000069, 3
mpi+openmp quick, 10, 0.000005, 3
serial quick, 10, 0.000006, 3
mpi merge, 10, 0.000145, 3
mpi+openmp merge, 10, 0.000026, 3
serial merge, 10, 0.000005, 3
mpi enum, 10, 0.000034, 3
mpi+openmp enum, 10, 0.000003, 3
serial enum, 10, 0.000002, 3
mpi quick, 10, 0.000061, 3
mpi+openmp quick, 10, 0.000043, 3
serial quick, 10, 0.000008, 3
mpi merge, 10, 0.000014, 3
mpi+openmp merge, 10, 0.000005, 3
serial merge, 10, 0.000005, 3
mpi enum, 10, 0.000057, 3
mpi+openmp enum, 10, 0.000021, 3
serial enum, 10, 0.000002, 3
mpi quick, 10, 0.000054, 3
mpi+openmp quick, 10, 0.000061, 3
serial quick, 10, 0.000004, 3
mpi merge, 10, 0.000107, 3
mpi+openmp merge, 10, 0.000088, 3
serial merge, 10, 0.000003, 3
mpi enum, 10, 0.000041, 3
mpi+openmp enum, 10, 0.000012, 3
serial enum, 10, 0.000002, 3
mpi quick, 10, 0.000068, 3
mpi+openmp quick, 10, 0.000054, 3
serial quick, 10, 0.000006, 3
mpi merge, 10, 0.000012, 3
mpi+openmp merge, 10, 0.000064, 3
serial merge, 10, 0.000006, 3
mpi enum, 10, 0.000035, 3
mpi+openmp enum, 10, 0.000015, 3
serial enum, 10, 0.000001, 3
mpi quick, 10, 0.000063, 3
mpi+openmp quick, 10, 0.000004, 3
serial quick, 10, 0.000003, 3
mpi merge, 10, 0.000040, 3
mpi+openmp merge, 10, 0.000029, 3
serial merge, 10, 0.000005, 3
mpi enum, 10, 0.000032, 3
mpi+openmp enum, 10, 0.000078, 3
serial enum, 10, 0.000001, 3
mpi quick, 10, 0.000056, 3
mpi+openmp quick, 10, 0.000045, 3
serial quick, 10, 0.000005, 3
mpi merge, 10, 0.000016, 3
mpi+openmp merge, 10, 0.000088, 3
serial merge, 10, 0.000005, 3
mpi enum, 10, 0.000053, 3
mpi+openmp enum, 10, 0.000053, 3
serial enum, 10, 0.000002, 3
mpi quick, 10, 0.000052, 3
mpi+openmp quick, 10, 0.000205, 3
serial quick, 10, 0.000014, 3
mpi merge, 10, 0.000017, 3
mpi+openmp merge, 10, 0.000028, 3
serial merge, 10, 0.000006, 3
mpi enum, 10, 0.000077, 3
mpi+openmp enum, 10, 0.000044, 3
serial enum, 10, 0.000002, 3
mpi quick, 10, 0.000054, 3
mpi+openmp quick, 10, 0.000008, 3
serial quick, 10, 0.000003, 3
mpi merge, 10, 0.000011, 3
mpi+openmp merge, 10, 0.000169, 3
serial merge, 10, 0.000005, 3
mpi enum, 10, 0.000033, 3
mpi+openmp enum, 10, 0.000004, 3
serial enum, 10, 0.000002, 3
mpi quick, 10, 0.000055, 3
mpi+openmp quick, 10, 0.000062, 3
serial quick, 10, 0.000003, 3
mpi merge, 10, 0.000053, 3
mpi+openmp merge, 10, 0.000042, 3
serial merge, 10, 0.000007, 3
mpi enum, 10, 0.000030, 3
mpi+openmp enum, 10, 0.000024, 3
serial enum, 10, 0.000002, 3
mpi quick, 10, 0.000058, 3
mpi+openmp quick, 10, 0.000036, 3
serial quick, 10, 0.000003, 3
mpi merge, 10, 0.000013, 3
mpi+openmp merge, 10, 0.000056, 3
serial merge, 10, 0.000005, 3
mpi enum, 10, 0.000067, 3
mpi+openmp enum, 10, 0.000051, 3
serial enum, 10, 0.000002, 3
mpi quick, 10, 0.000056, 3
mpi+openmp quick, 10, 0.000050, 3
serial quick, 10, 0.000004, 3
mpi merge, 10, 0.000014, 3
mpi+openmp merge, 10, 0.000004, 3
serial merge, 10, 0.000006, 3
mpi enum, 10, 0.000032, 3
mpi+openmp enum, 10, 0.000050, 3
serial enum, 10, 0.000002, 3
mpi quick, 10, 0.000235, 3
mpi+openmp quick, 10, 0.000010, 3
serial quick, 10, 0.000004, 3
mpi merge, 10, 0.000044, 3
mpi+openmp merge, 10, 0.000004, 3
serial merge, 10, 0.000005, 3
mpi enum, 10, 0.000051, 3
mpi+openmp enum, 10, 0.000004, 3
serial enum, 10, 0.000002, 3
mpi quick, 10, 0.000063, 3
mpi+openmp quick, 10, 0.000053, 3
serial quick, 10, 0.000004, 3
mpi merge, 10, 0.000017, 3
mpi+openmp merge, 10, 0.000005, 3
serial merge, 10, 0.000005, 3
mpi enum, 10, 0.000117, 3
mpi+openmp enum, 10, 0.000007, 3
serial enum, 10, 0.000001, 3
mpi quick, 10, 0.000055, 3
mpi+openmp quick, 10, 0.000005, 3
serial quick, 10, 0.000003, 3
mpi merge, 10, 0.000035, 3
mpi+openmp merge, 10, 0.000004, 3
serial merge, 10, 0.000005, 3
mpi enum, 10, 0.000026, 3
mpi+openmp enum, 10, 0.000004, 3
serial enum, 10, 0.000002, 3
mpi quick, 10, 0.000359, 3
mpi+openmp quick, 10, 0.000019, 3
serial quick, 10, 0.000004, 3
mpi merge, 10, 0.000011, 3
mpi+openmp merge, 10, 0.000004, 3
serial merge, 10, 0.000004, 3
mpi enum, 10, 0.000044, 3
mpi+openmp enum, 10, 0.000004, 3
serial enum, 10, 0.000002, 3
mpi quick, 10, 0.000054, 3
mpi+openmp quick, 10, 0.000058, 3
serial quick, 10, 0.000002, 3
mpi merge, 10, 0.000012, 3
mpi+openmp merge, 10, 0.000004, 3
serial merge, 10, 0.000015, 3
mpi enum, 10, 0.000033, 3
mpi+openmp enum, 10, 0.000004, 3
serial enum, 10, 0.000002, 3
mpi quick, 10, 0.000055, 3
mpi+openmp quick, 10, 0.000005, 3
serial quick, 10, 0.000002, 3
mpi quick, 10, 0.000053, 3
mpi+openmp quick, 10, 0.000005, 3
serial quick, 10, 0.000002, 3
mpi quick, 10, 0.000056, 3
mpi+openmp quick, 10, 0.000035, 3
serial quick, 10, 0.000005, 3
mpi merge, 10, 0.000012, 3
mpi+openmp merge, 10, 0.000004, 3
mpi quick, 10, 0.000055, 3
mpi+openmp quick, 10, 0.000058, 3
serial quick, 10, 0.000003, 3
mpi merge, 10, 0.000013, 3
mpi+openmp merge, 10, 0.000004, 3
serial merge, 10, 0.000008, 3
mpi enum, 10, 0.000078, 3
mpi+openmp enum, 10, 0.000025, 3
serial enum, 10, 0.000002, 3
mpi quick, 10, 0.000054, 3
mpi+openmp quick, 10, 0.000005, 3
serial quick, 10, 0.000004, 3
mpi quick, 10, 0.000054, 3
mpi+openmp quick, 10, 0.000004, 3
serial quick, 10, 0.000003, 3
mpi merge, 10, 0.000199, 3
mpi+openmp merge, 10, 0.000050, 3
serial merge, 10, 0.000004, 3
mpi enum, 10, 0.000037, 3
mpi+openmp enum, 10, 0.000004, 3
serial enum, 10, 0.000002, 3
mpi quick, 10, 0.000074, 3
mpi+openmp quick, 10, 0.000183, 3
serial quick, 10, 0.000002, 3
mpi merge, 10, 0.000067, 3
mpi+openmp merge, 10, 0.000008, 3
serial merge, 10, 0.000004, 3
mpi enum, 10, 0.000203, 3
mpi+openmp enum, 10, 0.000045, 3
serial enum, 10, 0.000001, 3
mpi quick, 10, 0.000063, 3
mpi+openmp quick, 10, 0.000059, 3
serial quick, 10, 0.000003, 3
mpi merge, 10, 0.000014, 3
mpi+openmp merge, 10, 0.000004, 3
mpi quick, 10, 0.000061, 3
mpi+openmp quick, 10, 0.000005, 3
serial quick, 10, 0.000003, 3
mpi merge, 10, 0.000063, 3
mpi+openmp merge, 10, 0.000005, 3
serial merge, 10, 0.000004, 3
mpi enum, 10, 0.000098, 3
mpi+openmp enum, 10, 0.000007, 3
serial enum, 10, 0.000002, 3
mpi quick, 10, 0.000253
mpi+openmp quick, 10, 0.000174
serial quick, 10, 0.000004
mpi merge, 10, 0.000058
mpi+openmp merge, 10, 0.000004
serial merge, 10, 0.000003
mpi enum, 10, 0.000042
mpi+openmp enum, 10, 0.000034
serial enum, 10, 0.000002
mpi quick, 10, 0.000064
mpi+openmp quick, 10, 0.000005
serial quick, 10, 0.000005
mpi merge, 10, 0.000047
mpi+openmp merge, 10, 0.000005
serial merge, 10, 0.000004
mpi enum, 10, 0.000036
mpi+openmp enum, 10, 0.000003
serial enum, 10, 0.000002
mpi quick, 10, 0.000063
mpi+openmp quick, 10, 0.000005
serial quick, 10, 0.000003
mpi merge, 10, 0.000233
mpi+openmp merge, 10, 0.000045
serial merge, 10, 0.000006
mpi enum, 10, 0.000048
mpi+openmp enum, 10, 0.000004
serial enum, 10, 0.000002
mpi quick, 10, 0.000061
mpi+openmp quick, 10, 0.000005
serial quick, 10, 0.000003
mpi merge, 10, 0.000012
mpi+openmp merge, 10, 0.000004
serial merge, 10, 0.000003
mpi enum, 10, 0.000036
mpi+openmp enum, 10, 0.000061
serial enum, 10, 0.000002
mpi quick, 10, 0.000056
mpi+openmp quick, 10, 0.000005
serial quick, 10, 0.000005
mpi merge, 10, 0.000035
mpi+openmp merge, 10, 0.000004
serial merge, 10, 0.000004
mpi enum, 10, 0.000031
mpi+openmp enum, 10, 0.000004
serial enum, 10, 0.000002
mpi quick, 10, 0.000053
mpi+openmp quick, 10, 0.000005
serial quick, 10, 0.000005
mpi merge, 10, 0.000043
mpi+openmp merge, 10, 0.000004
serial merge, 10, 0.000005
mpi enum, 10, 0.000054
mpi+openmp enum, 10, 0.000136
serial enum, 10, 0.000002
mpi quick, 10, 0.000054
mpi+openmp quick, 10, 0.000005
serial quick, 10, 0.000005
mpi merge, 10, 0.000097
mpi+openmp merge, 10, 0.000005
serial merge, 10, 0.000003
mpi enum, 10, 0.000069
mpi+openmp enum, 10, 0.000018
serial enum, 10, 0.000002
mpi quick, 10, 0.000069
mpi+openmp quick, 10, 0.000056
serial quick, 10, 0.000004
mpi merge, 10, 0.000011
mpi+openmp merge, 10, 0.000065
serial merge, 10, 0.000003
mpi enum, 10, 0.000028
mpi+openmp enum, 10, 0.000017
serial enum, 10, 0.000001
mpi quick, 10, 0.000053
mpi+openmp quick, 10, 0.000082
serial quick, 10, 0.000004
mpi merge, 10, 0.000012
mpi+openmp merge, 10, 0.000020
serial merge, 10, 0.000005
mpi enum, 10, 0.000035
mpi+openmp enum, 10, 0.000003
serial enum, 10, 0.000002
mpi quick, 10, 0.000054
mpi+openmp quick, 10, 0.000119
serial quick, 10, 0.000003
mpi merge, 10, 0.000053
mpi+openmp merge, 10, 0.000013
serial merge, 10, 0.000005
mpi enum, 10, 0.000032
mpi+openmp enum, 10, 0.000027
serial enum, 10, 0.000002
mpi quick, 10, 0.000062
mpi+openmp quick, 10, 0.000044
serial quick, 10, 0.000022
mpi merge, 10, 0.000102
mpi+openmp merge, 10, 0.000053
serial merge, 10, 0.000004
mpi enum, 10, 0.000028
mpi+openmp enum, 10, 0.000004
serial enum, 10, 0.000002
mpi quick, 10, 0.000064
mpi+openmp quick, 10, 0.000028
serial quick, 10, 0.000004
mpi merge, 10, 0.000013
mpi+openmp merge, 10, 0.000054
serial merge, 10, 0.000008
mpi enum, 10, 0.000042
mpi+openmp enum, 10, 0.000004
serial enum, 10, 0.000002
mpi quick, 10, 0.000160
mpi+openmp quick, 10, 0.000062
serial quick, 10, 0.000005
mpi merge, 10, 0.000038
mpi+openmp merge, 10, 0.000022
serial merge, 10, 0.000006
mpi enum, 10, 0.000052
mpi+openmp enum, 10, 0.000006
serial enum, 10, 0.000001
mpi quick, 10, 0.000056
mpi+openmp quick, 10, 0.000006
serial quick, 10, 0.000003
mpi merge, 10, 0.000013
mpi+openmp merge, 10, 0.000008
serial merge, 10, 0.000005
mpi enum, 10, 0.000055
mpi+openmp enum, 10, 0.000005
serial enum, 10, 0.000001
mpi quick, 10, 0.000054
mpi+openmp quick, 10, 0.000109
serial quick, 10, 0.000002
mpi merge, 10, 0.000053
mpi+openmp merge, 10, 0.000034
serial merge, 10, 0.000007
mpi enum, 10, 0.000030
mpi+openmp enum, 10, 0.000034
serial enum, 10, 0.000001
mpi quick, 10, 0.000061
mpi+openmp quick, 10, 0.000150
serial quick, 10, 0.000003
mpi merge, 10, 0.000013
mpi+openmp merge, 10, 0.000004
serial merge, 10, 0.000023
mpi enum, 10, 0.000006
mpi+openmp enum, 10, 0.000054
serial enum, 10, 0.000002
mpi quick, 10, 0.000170
mpi+openmp quick, 10, 0.000023
serial quick, 10, 0.000004
mpi merge, 10, 0.000041
mpi+openmp merge, 10, 0.000016
serial merge, 10, 0.000005
mpi enum, 10, 0.000004
mpi+openmp enum, 10, 0.000105
serial enum, 10, 0.000001
mpi quick, 10, 0.000061
mpi+openmp quick, 10, 0.000042
serial quick, 10, 0.000004
mpi merge, 10, 0.000015
mpi+openmp merge, 10, 0.000005
serial merge, 10, 0.000004
mpi enum, 10, 0.000038
mpi+openmp enum, 10, 0.000007
serial enum, 10, 0.000002
mpi quick, 10, 0.000120
mpi+openmp quick, 10, 0.000055
serial quick, 10, 0.000004
mpi merge, 10, 0.000059
mpi+openmp merge, 10, 0.000047
serial merge, 10, 0.000007
mpi enum, 10, 0.000052
mpi+openmp enum, 10, 0.000030
serial enum, 10, 0.000002
mpi quick, 10, 0.000194
mpi+openmp quick, 10, 0.000035
serial quick, 10, 0.000003
mpi merge, 10, 0.000014
mpi+openmp merge, 10, 0.000004
serial merge, 10, 0.000012
mpi enum, 10, 0.000005
mpi+openmp enum, 10, 0.000077
serial enum, 10, 0.000002
mpi quick, 10, 0.000053
mpi+openmp quick, 10, 0.000018
serial quick, 10, 0.000007
mpi merge, 10, 0.000013
mpi+openmp merge, 10, 0.000004
serial merge, 10, 0.000035
mpi enum, 10, 0.000004
mpi+openmp enum, 10, 0.000008
serial enum, 10, 0.000001
mpi quick, 10, 0.000237
mpi+openmp quick, 10, 0.000037
serial quick, 10, 0.000012
mpi merge, 10, 0.000015
mpi+openmp merge, 10, 0.000099
serial merge, 10, 0.000004
mpi enum, 10, 0.000012
mpi+openmp enum, 10, 0.000023
serial enum, 10, 0.000002
mpi quick, 10, 0.000055
mpi+openmp quick, 10, 0.000043
serial quick, 10, 0.000003
mpi merge, 10, 0.000011
mpi+openmp merge, 10, 0.000049
serial merge, 10, 0.000003
mpi enum, 10, 0.000006
mpi+openmp enum, 10, 0.000008
serial enum, 10, 0.000002
mpi quick, 10, 0.000055
mpi+openmp quick, 10, 0.000005
serial quick, 10, 0.000004
mpi merge, 10, 0.000046
mpi+openmp merge, 10, 0.000110
serial merge, 10, 0.000006
mpi enum, 10, 0.000050
mpi+openmp enum, 10, 0.000005
serial enum, 10, 0.000002
mpi quick, 10, 0.000056
mpi+openmp quick, 10, 0.000049
serial quick, 10, 0.000002
mpi merge, 10, 0.000062
mpi+openmp merge, 10, 0.000005
serial merge, 10, 0.000004
mpi enum, 10, 0.000043
mpi+openmp enum, 10, 0.000015
serial enum, 10, 0.000002
mpi quick, 10, 0.000055
mpi+openmp quick, 10, 0.000062
serial quick, 10, 0.000003
mpi merge, 10, 0.000048
mpi+openmp merge, 10, 0.000005
serial merge, 10, 0.000005
mpi enum, 10, 0.000031
mpi+openmp enum, 10, 0.000036
serial enum, 10, 0.000002
mpi quick, 10, 0.000055
mpi+openmp quick, 10, 0.000041
serial quick, 10, 0.000004
mpi merge, 10, 0.000015
mpi+openmp merge, 10, 0.000005
serial merge, 10, 0.000004
mpi enum, 10, 0.000095
mpi+openmp enum, 10, 0.000007
serial enum, 10, 0.000002
mpi quick, 10, 0.000060
mpi+openmp quick, 10, 0.000065
serial quick, 10, 0.000003
mpi merge, 10, 0.000099
mpi+openmp merge, 10, 0.000005
serial merge, 10, 0.000004
mpi enum, 10, 0.000022
mpi+openmp enum, 10, 0.000024
serial enum, 10, 0.000002
mpi quick, 10, 0.000062
mpi+openmp quick, 10, 0.000067
serial quick, 10, 0.000019
mpi merge, 10, 0.000014
mpi+openmp merge, 10, 0.000083
serial merge, 10, 0.000005
mpi enum, 10, 0.000006
mpi+openmp enum, 10, 0.000006
serial enum, 10, 0.000002
mpi quick, 10, 0.000052
mpi+openmp quick, 10, 0.000023
serial quick, 10, 0.000007
mpi merge, 10, 0.000059
mpi+openmp merge, 10, 0.000005
serial merge, 10, 0.000005
mpi enum, 10, 0.000056
mpi+openmp enum, 10, 0.000018
serial enum, 10, 0.000002
mpi quick, 10, 0.000056
mpi+openmp quick, 10, 0.000005
serial quick, 10, 0.000005
mpi merge, 10, 0.000066
mpi+openmp merge, 10, 0.000004
serial merge, 10, 0.000005
mpi enum, 10, 0.000004
mpi+openmp enum, 10, 0.000024
serial enum, 10, 0.000002
mpi quick, 10, 0.000063
mpi+openmp quick, 10, 0.000174
serial quick, 10, 0.000004
mpi merge, 10, 0.000016
mpi+openmp merge, 10, 0.000004
serial merge, 10, 0.000004
mpi enum, 10, 0.000042
mpi+openmp enum, 10, 0.000059
serial enum, 10, 0.000002
mpi quick, 10, 0.000058
mpi+openmp quick, 10, 0.000047
serial quick, 10, 0.000002
mpi merge, 10, 0.000016
mpi+openmp merge, 10, 0.000004
serial merge, 10, 0.000007
mpi enum, 10, 0.000032
mpi+openmp enum, 10, 0.000047
serial enum, 10, 0.000001
mpi quick, 10, 0.000057
mpi+openmp quick, 10, 0.000008
serial quick, 10, 0.000003
mpi merge, 10, 0.000085
mpi+openmp merge, 10, 0.000005
serial merge, 10, 0.000005
mpi enum, 10, 0.000219
mpi+openmp enum, 10, 0.000010
serial enum, 10, 0.000002
mpi quick, 10, 0.000062
mpi+openmp quick, 10, 0.000005
serial quick, 10, 0.000005
mpi merge, 10, 0.000064
mpi+openmp merge, 10, 0.000053
serial merge, 10, 0.000024
mpi enum, 10, 0.000032
mpi+openmp enum, 10, 0.000004
serial enum, 10, 0.000001
mpi quick, 10, 0.000054
mpi+openmp quick, 10, 0.000005
serial quick, 10, 0.000005
mpi merge, 10, 0.000077
mpi+openmp merge, 10, 0.000011
serial merge, 10, 0.000004
mpi enum, 10, 0.000042
mpi+openmp enum, 10, 0.000065
serial enum, 10, 0.000002
mpi quick, 10, 0.000328
mpi+openmp quick, 10, 0.000101
serial quick, 10, 0.000004
mpi merge, 10, 0.000049
mpi+openmp merge, 10, 0.000055
serial merge, 10, 0.000008
mpi enum, 10, 0.000060
mpi+openmp enum, 10, 0.000005
serial enum, 10, 0.000002
mpi quick, 10, 0.000062
mpi+openmp quick, 10, 0.000005
serial quick, 10, 0.000010
mpi merge, 10, 0.000015
mpi+openmp merge, 10, 0.000164
serial merge, 10, 0.000005
mpi enum, 10, 0.000153
mpi+openmp enum, 10, 0.000094
serial enum, 10, 0.000001
mpi quick, 10, 0.000320
mpi+openmp quick, 10, 0.000010
serial quick, 10, 0.000003
mpi merge, 10, 0.000095
mpi+openmp merge, 10, 0.000004
serial merge, 10, 0.000012
mpi enum, 10, 0.000063
mpi+openmp enum, 10, 0.000016
serial enum, 10, 0.000002
mpi quick, 10, 0.000055
mpi+openmp quick, 10, 0.000042
serial quick, 10, 0.000002
mpi merge, 10, 0.000013
mpi+openmp merge, 10, 0.000032
serial merge, 10, 0.000005
mpi enum, 10, 0.000067
mpi+openmp enum, 10, 0.000004
serial enum, 10, 0.000002
mpi quick, 10, 0.000202
mpi+openmp quick, 10, 0.000029
serial quick, 10, 0.000023
mpi merge, 10, 0.000024
mpi+openmp merge, 10, 0.000199
serial merge, 10, 0.000004
mpi enum, 10, 0.000051
mpi+openmp enum, 10, 0.000019
serial enum, 10, 0.000002
mpi quick, 10, 0.000054
mpi+openmp quick, 10, 0.000046
serial quick, 10, 0.000014
mpi merge, 10, 0.000114
